_c0,County-State,Drop_Out_Rate_By_County
2,ASCENSION PARISH-LA,0.05140935297885971
3,ASSUMPTION PARISH-LA,0.13606010016694492
4,AVOYELLES PARISH-LA,0.11534749034749035
5,BEAUREGARD PARISH-LA,0.0291897332662305
6,BIENVILLE PARISH-LA,0.018957345971563982
7,BOSSIER PARISH-LA,0.08897983932090345
8,CADDO PARISH-LA,0.03891018843298801
9,CALCASIEU PARISH-LA,0.03985660059046816
10,CALDWELL PARISH-LA,0.025078369905956112
11,CAMERON PARISH-LA,0.0
12,CATAHOULA PARISH-LA,0.14814814814814814
13,CLAIBORNE PARISH-LA,0.04559270516717325
14,CONCORDIA PARISH-LA,0.021653543307086614
15,DE SOTO PARISH-LA,0.07142857142857142
16,EAST BATON ROUGE PARISH-LA,0.03849126034958602
17,EAST CARROLL PARISH-LA,0.5234899328859061
18,EAST FELICIANA PARISH-LA,0.06218905472636816
19,EVANGELINE PARISH-LA,0.23382173382173382
20,FRANKLIN PARISH-LA,0.1395973154362416
21,GRANT PARISH-LA,0.10114503816793893
22,IBERIA PARISH-LA,0.05524553571428571
23,IBERVILLE PARISH-LA,0.07071380920613743
24,JACKSON PARISH-LA,0.1515601783060921
25,JEFFERSON PARISH-LA,0.07935908502373759
26,JEFFERSON DAVIS PARISH-LA,0.08806818181818182
27,LAFAYETTE PARISH-LA,0.055868304332992155
28,LAFOURCHE PARISH-LA,0.11144397843019772
29,LASALLE PARISH-LA,0.10067114093959731
30,LINCOLN PARISH-LA,0.024356931481903026
31,LIVINGSTON PARISH-LA,0.08581991021917085
32,MADISON PARISH-LA,0.12147887323943662
33,MOREHOUSE PARISH-LA,0.08979278587874137
34,NATCHITOCHES PARISH-LA,0.05998509687034277
35,ORLEANS PARISH-LA,0.04794833695279461
36,OUACHITA PARISH-LA,0.08604008293020042
37,PLAQUEMINES PARISH-LA,0.07459379615952733
38,POINTE COUPEE PARISH-LA,0.028310502283105023
39,RAPIDES PARISH-LA,0.06952704616256018
40,RED RIVER PARISH-LA,0.03314917127071823
