
County-State,Percentage of Teens Who Work Part or Full time
BEAR LAKE-ID,0.6347826086956522
BENEWAH-ID,0.5779092702169625
BINGHAM-ID,0.5854074326628026
BLAINE-ID,0.671900826446281
BOISE-ID,0.48863636363636365
BONNER-ID,0.6266386995280545
BONNEVILLE-ID,0.6774670809291315
BOUNDARY-ID,0.6693811074918566
BUTTE-ID,0.8928571428571429
CAMAS-ID,0.7142857142857143
CANYON-ID,0.5651187414914537
CARIBOU-ID,0.6651270207852193
CASSIA-ID,0.6402116402116402
CLARK-ID,0.7604166666666666
CLEARWATER-ID,0.4208860759493671
CUSTER-ID,0.7747747747747747
ELMORE-ID,0.4770716009654063
FRANKLIN-ID,0.7976307996051333
FREMONT-ID,0.6081242532855436
GEM-ID,0.7215528781793842
GOODING-ID,0.41767554479418884
IDAHO-ID,0.44807121661721067
JEFFERSON-ID,0.7427572427572428
JEROME-ID,0.4710252600297177
KOOTENAI-ID,0.6156061437191442
LATAH-ID,0.7570353859013653
LEMHI-ID,0.7128712871287128
LEWIS-ID,0.38860103626943004
LINCOLN-ID,0.6156716417910447
MADISON-ID,0.772938585759726
MINIDOKA-ID,0.5583623693379791
NEZ PERCE-ID,0.5858475041140977
ONEIDA-ID,0.8954545454545455
OWYHEE-ID,0.5052878965922444
PAYETTE-ID,0.7050359712230215
POWER-ID,0.6408839779005525
SHOSHONE-ID,0.645367412140575
TETON-ID,0.23186119873817035
TWIN FALLS-ID,0.6456990442320516
VALLEY-ID,0.6253602305475504
WASHINGTON-ID,0.5319634703196348
ADAMS-IL,0.5842349304482226
ALEXANDER-IL,0.09063444108761329
BOND-IL,0.4755077658303465
BOONE-IL,0.5188118811881188
BROWN-IL,0.39344262295081966
BUREAU-IL,0.6002795248078266
CALHOUN-IL,0.6230769230769231
CARROLL-IL,0.5083179297597042
CASS-IL,0.5675675675675675
CHAMPAIGN-IL,0.5428165156941226
CHRISTIAN-IL,0.5072353389185073
CLARK-IL,0.6136363636363636
CLAY-IL,0.5242369838420108
CLINTON-IL,0.5551203133743704
COLES-IL,0.6599439775910364
COOK-IL,0.3684658483556466
CRAWFORD-IL,0.5891276864728192
CUMBERLAND-IL,0.8061855670103093
DEKALB-IL,0.6611786227623154
DE WITT-IL,0.5298416565164433
DOUGLAS-IL,0.7003710575139147
DUPAGE-IL,0.5310109743930828
EDGAR-IL,0.5232018561484919
EDWARDS-IL,0.4117647058823529
EFFINGHAM-IL,0.7324306898774984
FAYETTE-IL,0.45359749739311783
FORD-IL,0.5560975609756098
FRANKLIN-IL,0.5226870948733058
FULTON-IL,0.43902439024390244
GALLATIN-IL,0.4890829694323144
GREENE-IL,0.6308823529411764
GRUNDY-IL,0.5829331363132619
HAMILTON-IL,0.7128712871287128
HANCOCK-IL,0.42659974905897113
HARDIN-IL,0.4772727272727273
HENDERSON-IL,0.6476190476190476
HENRY-IL,0.55484387510008
IROQUOIS-IL,0.601177336276674
JACKSON-IL,0.3249945139346061
JASPER-IL,0.8895027624309392
JEFFERSON-IL,0.6187974314068885
JERSEY-IL,0.5007541478129713
JO DAVIESS-IL,0.6366822429906542
JOHNSON-IL,0.3629489603024575
KANE-IL,0.5774953101753024
KANKAKEE-IL,0.5200931857891672
KENDALL-IL,0.5779637377963738
KNOX-IL,0.514609203798393
LAKE-IL,0.5542656275294281
LASALLE-IL,0.6288349331827593
LAWRENCE-IL,0.6397849462365591
LEE-IL,0.6470143613000756
LIVINGSTON-IL,0.5228617536309844
LOGAN-IL,0.5580524344569289
MCDONOUGH-IL,0.6354561101549053
MCHENRY-IL,0.572154291452537
MCLEAN-IL,0.6001086029012489
MACON-IL,0.5318279151255597
MACOUPIN-IL,0.5369545859305432
MADISON-IL,0.5276548672566371
MARION-IL,0.5744286596664607
MARSHALL-IL,0.5784499054820416
MASON-IL,0.5163297045101088
MASSAC-IL,0.38344594594594594
MENARD-IL,0.5559380378657487
MERCER-IL,0.5704419889502762
MONROE-IL,0.6074825618262524
MONTGOMERY-IL,0.4193817878028404
MORGAN-IL,0.5540950455005056
MOULTRIE-IL,0.690176322418136
OGLE-IL,0.5159108989657916
PEORIA-IL,0.4778104895867408
PERRY-IL,0.53717277486911
PIATT-IL,0.5924050632911393
PIKE-IL,0.5362095531587057
POPE-IL,0.24242424242424243
PULASKI-IL,0.3211267605633803
PUTNAM-IL,0.5498154981549815
RANDOLPH-IL,0.5680109364319891
RICHLAND-IL,0.6105702364394993
ROCK ISLAND-IL,0.654496644295302
ST. CLAIR-IL,0.5556777132087325
SALINE-IL,0.4868292682926829
SANGAMON-IL,0.4366596638655462
SCHUYLER-IL,0.6447058823529411
SCOTT-IL,0.5666666666666667
SHELBY-IL,0.5550978372811535
STARK-IL,0.43946188340807174
STEPHENSON-IL,0.6077608809648662
TAZEWELL-IL,0.5134255492270138
UNION-IL,0.3223767383059418
VERMILION-IL,0.35263730288200107
WABASH-IL,0.7204301075268817
WARREN-IL,0.6205170975813178
WASHINGTON-IL,0.5437201907790143
WAYNE-IL,0.5143638850889193
WHITE-IL,0.604089219330855
WHITESIDE-IL,0.5384615384615384
WILL-IL,0.5375686313836588
WILLIAMSON-IL,0.44262917933130697
WINNEBAGO-IL,0.4923433548749649
WOODFORD-IL,0.543168880455408
ADAMS-IN,0.6857445680975093
ALLEN-IN,0.5575088382003971
BARTHOLOMEW-IN,0.5393202679235921
BENTON-IN,0.5201900237529691
BLACKFORD-IN,0.5584415584415584
BOONE-IN,0.5579231692677071
BROWN-IN,0.39331210191082805
CARROLL-IN,0.5558852621167161
CASS-IN,0.45949855351976854
CLARK-IN,0.5746540422432629
CLAY-IN,0.4919210053859964
CLINTON-IN,0.6302670623145401
CRAWFORD-IN,0.5811764705882353
DAVIESS-IN,0.5701311806256307
DEARBORN-IN,0.5584752035529238
DECATUR-IN,0.439005439005439
DEKALB-IN,0.5572893446277307
DELAWARE-IN,0.6355220667384284
DUBOIS-IN,0.7190952130457654
ELKHART-IN,0.6122888659083074
FAYETTE-IN,0.46332046332046334
FLOYD-IN,0.5267990074441687
FOUNTAIN-IN,0.6242774566473989
FRANKLIN-IN,0.4934210526315789
FULTON-IN,0.44506726457399104
GIBSON-IN,0.5759390310288514
GRANT-IN,0.5918656892882478
GREENE-IN,0.5423100679431748
HAMILTON-IN,0.5660780240073869
HANCOCK-IN,0.48119526017516745
HARRISON-IN,0.4829971181556196
HENDRICKS-IN,0.5501804239963916
HENRY-IN,0.36943820224719104
HOWARD-IN,0.518806115020626
HUNTINGTON-IN,0.6532019704433497
JACKSON-IN,0.4478468899521531
JASPER-IN,0.4545908183632735
JAY-IN,0.59400826446281
