County-State,Median-Household-Income
MARSHALL-IA,58735
MILLS-IA,75137
MITCHELL-IA,60260
MONONA-IA,51866
MONROE-IA,59489
MONTGOMERY-IA,55761
MUSCATINE-IA,60435
O'BRIEN-IA,57200
OSCEOLA-IA,61167
PAGE-IA,51196
PALO ALTO-IA,56437
PLYMOUTH-IA,71147
POCAHONTAS-IA,53573
POLK-IA,69747
POTTAWATTAMIE-IA,59901
POWESHIEK-IA,53925
RINGGOLD-IA,55970
SAC-IA,57446
SCOTT-IA,63876
SHELBY-IA,60139
SIOUX-IA,73260
STORY-IA,58302
TAMA-IA,54749
TAYLOR-IA,57768
UNION-IA,50375
VAN BUREN-IA,49898
WAPELLO-IA,46433
WARREN-IA,80309
WASHINGTON-IA,63532
WAYNE-IA,47543
WEBSTER-IA,51909
WINNEBAGO-IA,51581
WINNESHIEK-IA,63162
WOODBURY-IA,60768
WORTH-IA,60442
WRIGHT-IA,51221
ALLEN-KS,47983
ANDERSON-KS,52995
ATCHISON-KS,50683
BARBER-KS,49668
BARTON-KS,48863
BOURBON-KS,46369
BROWN-KS,50649
BUTLER-KS,66405
CHASE-KS,48906
CHAUTAUQUA-KS,39500
CHEROKEE-KS,41936
CHEYENNE-KS,42802
CLARK-KS,52500
CLAY-KS,47880
CLOUD-KS,48295
COFFEY-KS,59405
COMANCHE-KS,48125
COWLEY-KS,50786
CRAWFORD-KS,42615
DECATUR-KS,44125
DICKINSON-KS,53864
DONIPHAN-KS,51953
DOUGLAS-KS,61020
EDWARDS-KS,50028
ELK-KS,42564
ELLIS-KS,57053
ELLSWORTH-KS,56306
FINNEY-KS,60498
FORD-KS,53743
FRANKLIN-KS,55873
GEARY-KS,52019
GOVE-KS,53906
GRAHAM-KS,40890
GRANT-KS,60625
GRAY-KS,70457
GREELEY-KS,53750
GREENWOOD-KS,43320
HAMILTON-KS,44894
HARPER-KS,49283
HARVEY-KS,58782
HASKELL-KS,54638
HODGEMAN-KS,60703
JACKSON-KS,59686
JEFFERSON-KS,67429
JEWELL-KS,38188
JOHNSON-KS,91650
KEARNY-KS,46464
KINGMAN-KS,57304
KIOWA-KS,53107
LABETTE-KS,47922
LANE-KS,41318
LEAVENWORTH-KS,76307
LINCOLN-KS,46523
LINN-KS,48325
LOGAN-KS,51136
LYON-KS,50141
MCPHERSON-KS,59928
MARION-KS,50816
MARSHALL-KS,52293
MEADE-KS,56817
MIAMI-KS,75635
MITCHELL-KS,47375
MONTGOMERY-KS,45288
MORRIS-KS,52792
MORTON-KS,41866
NEMAHA-KS,61382
NEOSHO-KS,49493
NESS-KS,57222
NORTON-KS,48486
OSAGE-KS,58927
OSBORNE-KS,50774
OTTAWA-KS,59607
PAWNEE-KS,46559
PHILLIPS-KS,51820
POTTAWATOMIE-KS,70064
PRATT-KS,54644
RAWLINS-KS,57281
RENO-KS,51520
REPUBLIC-KS,50411
RICE-KS,49688
RILEY-KS,51098
ROOKS-KS,51362
RUSH-KS,46333
RUSSELL-KS,50630
SALINE-KS,51830
SCOTT-KS,55625
SEDGWICK-KS,57540
SEWARD-KS,49395
SHAWNEE-KS,58652
SHERIDAN-KS,62105
SHERMAN-KS,57005
