,NAME,State,Total Population 16 to 19 Years,Total_Male_Dropout,Total_Female_Dropout,Total_Dropout,County
60,Randolph County,Arkansas,693,15,27,42,Randolph 
61,St. Francis County,Arkansas,1226,158,16,174,St. Francis 
62,Saline County,Arkansas,6146,280,164,444,Saline 
63,Scott County,Arkansas,452,26,27,53,Scott 
64,Searcy County,Arkansas,322,14,37,51,Searcy 
65,Sebastian County,Arkansas,6642,261,236,497,Sebastian 
66,Sevier County,Arkansas,841,12,21,33,Sevier 
67,Sharp County,Arkansas,749,51,0,51,Sharp 
68,Stone County,Arkansas,489,0,0,0,Stone 
69,Union County,Arkansas,1800,5,13,18,Union 
70,Van Buren County,Arkansas,805,0,84,84,Van Buren 
71,Washington County,Arkansas,15634,186,431,617,Washington 
72,White County,Arkansas,4997,191,101,292,White 
73,Woodruff County,Arkansas,296,0,6,6,Woodruff 
74,Yell County,Arkansas,1258,18,34,52,Yell 
0,Churchill County,Nevada,917,116,61,177,Churchill 
1,Clark County,Nevada,106298,4308,3320,7628,Clark 
2,Douglas County,Nevada,1962,68,15,83,Douglas 
3,Elko County,Nevada,2979,131,15,146,Elko 
4,Esmeralda County,Nevada,24,0,23,23,Esmeralda 
5,Eureka County,Nevada,129,65,0,65,Eureka 
6,Humboldt County,Nevada,906,51,45,96,Humboldt 
7,Lander County,Nevada,173,0,0,0,Lander 
8,Lincoln County,Nevada,296,28,0,28,Lincoln 
9,Lyon County,Nevada,2436,175,226,401,Lyon 
10,Mineral County,Nevada,321,0,64,64,Mineral 
11,Nye County,Nevada,1865,180,114,294,Nye 
12,Pershing County,Nevada,181,1,0,1,Pershing 
13,Storey County,Nevada,236,0,0,0,Storey 
14,Washoe County,Nevada,21901,999,552,1551,Washoe 
15,White Pine County,Nevada,251,12,4,16,White Pine 
16,Carson City,Nevada,2276,132,85,217,Carson City
0,Allen County,Kansas,783,23,13,36,Allen 
1,Anderson County,Kansas,324,30,32,62,Anderson 
2,Atchison County,Kansas,1085,54,50,104,Atchison 
3,Barber County,Kansas,161,8,0,8,Barber 
4,Barton County,Kansas,1307,42,44,86,Barton 
5,Bourbon County,Kansas,784,14,88,102,Bourbon 
6,Brown County,Kansas,461,0,18,18,Brown 
7,Butler County,Kansas,3968,140,86,226,Butler 
8,Chase County,Kansas,133,0,0,0,Chase 
9,Chautauqua County,Kansas,109,2,14,16,Chautauqua 
10,Cherokee County,Kansas,973,21,0,21,Cherokee 
11,Cheyenne County,Kansas,148,0,0,0,Cheyenne 
12,Clark County,Kansas,49,0,0,0,Clark 
13,Clay County,Kansas,253,4,6,10,Clay 
14,Cloud County,Kansas,389,3,31,34,Cloud 
15,Coffey County,Kansas,399,1,7,8,Coffey 
16,Comanche County,Kansas,84,0,0,0,Comanche 
17,Cowley County,Kansas,2139,69,30,99,Cowley 
18,Crawford County,Kansas,2671,124,16,140,Crawford 
19,Decatur County,Kansas,60,7,14,21,Decatur 
20,Dickinson County,Kansas,863,6,2,8,Dickinson 
21,Doniphan County,Kansas,764,6,0,6,Doniphan 
22,Douglas County,Kansas,9744,119,108,227,Douglas 
23,Edwards County,Kansas,104,9,0,9,Edwards 
24,Elk County,Kansas,83,0,1,1,Elk 
25,Ellis County,Kansas,1567,58,0,58,Ellis 
26,Ellsworth County,Kansas,286,0,0,0,Ellsworth 
27,Finney County,Kansas,2381,92,28,120,Finney 
28,Ford County,Kansas,2194,64,31,95,Ford 
29,Franklin County,Kansas,1511,10,16,26,Franklin 
30,Geary County,Kansas,1342,11,19,30,Geary 
31,Gove County,Kansas,64,0,3,3,Gove 
32,Graham County,Kansas,77,4,0,4,Graham 
33,Grant County,Kansas,419,70,0,70,Grant 
34,Gray County,Kansas,404,119,24,143,Gray 
35,Greeley County,Kansas,91,6,0,6,Greeley 
36,Greenwood County,Kansas,279,0,3,3,Greenwood 
37,Hamilton County,Kansas,147,0,12,12,Hamilton 
38,Harper County,Kansas,309,4,0,4,Harper 
39,Harvey County,Kansas,2222,178,172,350,Harvey 
40,Haskell County,Kansas,189,112,7,119,Haskell 
41,Hodgeman County,Kansas,106,0,0,0,Hodgeman 
42,Jackson County,Kansas,596,7,3,10,Jackson 
43,Jefferson County,Kansas,1051,30,0,30,Jefferson 
44,Jewell County,Kansas,94,0,0,0,Jewell 
45,Johnson County,Kansas,30368,666,260,926,Johnson 
46,Kearny County,Kansas,317,78,1,79,Kearny 
47,Kingman County,Kansas,306,44,0,44,Kingman 
48,Kiowa County,Kansas,215,0,0,0,Kiowa 
49,Labette County,Kansas,902,68,60,128,Labette 
50,Lane County,Kansas,118,54,59,113,Lane 
51,Leavenworth County,Kansas,4049,150,36,186,Leavenworth 
52,Lincoln County,Kansas,167,3,0,3,Lincoln 
53,Linn County,Kansas,422,14,54,68,Linn 
54,Logan County,Kansas,118,12,0,12,Logan 
55,Lyon County,Kansas,2148,23,34,57,Lyon 
56,McPherson County,Kansas,1665,128,78,206,McPherson 
57,Marion County,Kansas,674,44,26,70,Marion 
58,Marshall County,Kansas,439,35,4,39,Marshall 
59,Meade County,Kansas,232,14,0,14,Meade 
60,Miami County,Kansas,1774,0,18,18,Miami 
61,Mitchell County,Kansas,389,16,70,86,Mitchell 
62,Montgomery County,Kansas,1756,67,38,105,Montgomery 
63,Morris County,Kansas,207,0,0,0,Morris 
64,Morton County,Kansas,171,5,13,18,Morton 
65,Nemaha County,Kansas,588,5,0,5,Nemaha 
66,Neosho County,Kansas,966,6,0,6,Neosho 
67,Ness County,Kansas,102,6,0,6,Ness 
68,Norton County,Kansas,176,0,0,0,Norton 
69,Osage County,Kansas,761,41,36,77,Osage 
70,Osborne County,Kansas,88,0,7,7,Osborne 
71,Ottawa County,Kansas,315,21,13,34,Ottawa 
72,Pawnee County,Kansas,363,14,0,14,Pawnee 
73,Phillips County,Kansas,235,0,14,14,Phillips 
74,Pottawatomie County,Kansas,1398,71,16,87,Pottawatomie 
75,Pratt County,Kansas,634,1,0,1,Pratt 
76,Rawlins County,Kansas,61,1,0,1,Rawlins 
77,Reno County,Kansas,3155,153,176,329,Reno 
78,Republic County,Kansas,168,0,0,0,Republic 
79,Rice County,Kansas,605,4,0,4,Rice 
80,Riley County,Kansas,7028,112,75,187,Riley 
81,Rooks County,Kansas,237,6,1,7,Rooks 
82,Rush County,Kansas,98,0,10,10,Rush 
83,Russell County,Kansas,426,0,7,7,Russell 
84,Saline County,Kansas,2764,9,0,9,Saline 
85,Scott County,Kansas,248,4,0,4,Scott 
86,Sedgwick County,Kansas,26667,1459,902,2361,Sedgwick 
87,Seward County,Kansas,1257,122,9,131,Seward 
88,Shawnee County,Kansas,9112,322,157,479,Shawnee 
89,Sheridan County,Kansas,104,0,0,0,Sheridan 
90,Sherman County,Kansas,384,0,0,0,Sherman 
91,Smith County,Kansas,177,8,0,8,Smith 
92,Stafford County,Kansas,201,55,38,93,Stafford 
93,Stanton County,Kansas,108,0,0,0,Stanton 
94,Stevens County,Kansas,274,2,0,2,Stevens 
95,Sumner County,Kansas,1106,17,14,31,Sumner 
96,Thomas County,Kansas,505,11,1,12,Thomas 
97,Trego County,Kansas,103,0,3,3,Trego 
98,Wabaunsee County,Kansas,391,18,3,21,Wabaunsee 
99,Wallace County,Kansas,47,0,0,0,Wallace 
100,Washington County,Kansas,245,0,0,0,Washington 
101,Wichita County,Kansas,101,0,0,0,Wichita 
102,Wilson County,Kansas,474,54,42,96,Wilson 
103,Woodson County,Kansas,141,1,0,1,Woodson 
104,Wyandotte County,Kansas,8747,894,462,1356,Wyandotte 
0,Adair County,Kentucky,1349,54,13,67,Adair 
1,Allen County,Kentucky,872,131,38,169,Allen 
2,Anderson County,Kentucky,876,21,0,21,Anderson 
3,Ballard County,Kentucky,386,14,6,20,Ballard 
4,Barren County,Kentucky,2089,154,169,323,Barren 
5,Bath County,Kentucky,584,24,5,29,Bath 
6,Bell County,Kentucky,1242,81,62,143,Bell 
7,Boone County,Kentucky,7189,331,20,351,Boone 
8,Bourbon County,Kentucky,918,0,0,0,Bourbon 
9,Boyd County,Kentucky,2114,24,66,90,Boyd 
10,Boyle County,Kentucky,2187,0,22,22,Boyle 
11,Bracken County,Kentucky,359,0,71,71,Bracken 
12,Breathitt County,Kentucky,492,20,22,42,Breathitt 
13,Breckinridge County,Kentucky,1078,0,24,24,Breckinridge 
14,Bullitt County,Kentucky,4209,48,54,102,Bullitt 
15,Butler County,Kentucky,568,0,0,0,Butler 
16,Caldwell County,Kentucky,557,158,26,184,Caldwell 
17,Calloway County,Kentucky,3322,100,0,100,Calloway 
18,Campbell County,Kentucky,5330,33,0,33,Campbell 
19,Carlisle County,Kentucky,244,5,0,5,Carlisle 
20,Carroll County,Kentucky,440,0,0,0,Carroll 
21,Carter County,Kentucky,1215,53,70,123,Carter 
22,Casey County,Kentucky,763,51,184,235,Casey 
23,Christian County,Kentucky,3802,220,76,296,Christian 
24,Clark County,Kentucky,1426,185,19,204,Clark 
25,Clay County,Kentucky,756,12,56,68,Clay 
26,Clinton County,Kentucky,616,83,0,83,Clinton 
27,Crittenden County,Kentucky,347,29,10,39,Crittenden 
28,Cumberland County,Kentucky,222,0,23,23,Cumberland 
29,Daviess County,Kentucky,4602,288,124,412,Daviess 
30,Edmonson County,Kentucky,572,38,0,38,Edmonson 
31,Elliott County,Kentucky,232,0,3,3,Elliott 
32,Estill County,Kentucky,733,0,0,0,Estill 
33,Fayette County,Kentucky,18038,327,217,544,Fayette 
34,Fleming County,Kentucky,629,33,28,61,Fleming 
35,Floyd County,Kentucky,1722,65,23,88,Floyd 
36,Franklin County,Kentucky,2698,46,15,61,Franklin 
37,Fulton County,Kentucky,158,7,0,7,Fulton 
38,Gallatin County,Kentucky,545,19,0,19,Gallatin 
39,Garrard County,Kentucky,718,0,0,0,Garrard 
40,Grant County,Kentucky,1460,147,18,165,Grant 
41,Graves County,Kentucky,2089,32,132,164,Graves 
42,Grayson County,Kentucky,1358,151,40,191,Grayson 
43,Green County,Kentucky,438,32,0,32,Green 
44,Greenup County,Kentucky,1680,52,11,63,Greenup 
45,Hancock County,Kentucky,500,0,26,26,Hancock 
46,Hardin County,Kentucky,5668,200,131,331,Hardin 
47,Harlan County,Kentucky,1134,37,64,101,Harlan 
48,Harrison County,Kentucky,810,0,40,40,Harrison 
49,Hart County,Kentucky,908,159,66,225,Hart 
50,Henderson County,Kentucky,2378,74,34,108,Henderson 
51,Henry County,Kentucky,928,32,12,44,Henry 
52,Hickman County,Kentucky,295,14,0,14,Hickman 
53,Hopkins County,Kentucky,2173,47,19,66,Hopkins 
54,Jackson County,Kentucky,727,25,0,25,Jackson 
55,Jefferson County,Kentucky,36926,1221,1184,2405,Jefferson 
56,Jessamine County,Kentucky,2967,54,47,101,Jessamine 
57,Johnson County,Kentucky,989,33,0,33,Johnson 
58,Kenton County,Kentucky,7802,109,32,141,Kenton 
59,Knott County,Kentucky,839,49,0,49,Knott 
60,Knox County,Kentucky,1801,0,44,44,Knox 
61,Larue County,Kentucky,646,23,13,36,Larue 
62,Laurel County,Kentucky,2941,168,205,373,Laurel 
63,Lawrence County,Kentucky,708,12,26,38,Lawrence 
64,Lee County,Kentucky,400,14,27,41,Lee 
65,Leslie County,Kentucky,229,0,23,23,Leslie 
66,Letcher County,Kentucky,917,9,68,77,Letcher 
67,Lewis County,Kentucky,656,0,0,0,Lewis 
68,Lincoln County,Kentucky,1171,61,66,127,Lincoln 
69,Livingston County,Kentucky,386,31,0,31,Livingston 
70,Logan County,Kentucky,1143,86,94,180,Logan 
71,Lyon County,Kentucky,321,0,0,0,Lyon 
72,McCracken County,Kentucky,2825,111,83,194,McCracken 
73,McCreary County,Kentucky,799,79,0,79,McCreary 
74,McLean County,Kentucky,481,10,10,20,McLean 
75,Madison County,Kentucky,7081,102,70,172,Madison 
76,Magoffin County,Kentucky,451,22,6,28,Magoffin 
77,Marion County,Kentucky,911,73,8,81,Marion 
78,Marshall County,Kentucky,1412,28,0,28,Marshall 
79,Martin County,Kentucky,493,50,24,74,Martin 
80,Mason County,Kentucky,791,4,105,109,Mason 
81,Meade County,Kentucky,1422,16,59,75,Meade 
82,Menifee County,Kentucky,196,10,6,16,Menifee 
83,Mercer County,Kentucky,1045,37,8,45,Mercer 
84,Metcalfe County,Kentucky,439,11,0,11,Metcalfe 
85,Monroe County,Kentucky,505,217,0,217,Monroe 
86,Montgomery County,Kentucky,1421,3,22,25,Montgomery 
87,Morgan County,Kentucky,578,95,27,122,Morgan 
88,Muhlenberg County,Kentucky,1745,10,38,48,Muhlenberg 
89,Nelson County,Kentucky,2051,3,17,20,Nelson 
90,Nicholas County,Kentucky,416,20,0,20,Nicholas 
91,Ohio County,Kentucky,1314,83,8,91,Ohio 
92,Oldham County,Kentucky,3618,32,48,80,Oldham 
93,Owen County,Kentucky,448,0,37,37,Owen 
94,Owsley County,Kentucky,255,17,8,25,Owsley 
95,Pendleton County,Kentucky,685,18,0,18,Pendleton 
96,Perry County,Kentucky,1321,0,0,0,Perry 
97,Pike County,Kentucky,2815,35,56,91,Pike 
98,Powell County,Kentucky,416,5,0,5,Powell 
99,Pulaski County,Kentucky,2910,352,63,415,Pulaski 
100,Robertson County,Kentucky,88,4,8,12,Robertson 
101,Rockcastle County,Kentucky,887,0,0,0,Rockcastle 
102,Rowan County,Kentucky,2743,0,21,21,Rowan 
103,Russell County,Kentucky,842,63,6,69,Russell 
104,Scott County,Kentucky,2936,74,8,82,Scott 
105,Shelby County,Kentucky,2440,62,16,78,Shelby 
106,Simpson County,Kentucky,890,0,7,7,Simpson 
107,Spencer County,Kentucky,1099,0,50,50,Spencer 
108,Taylor County,Kentucky,1678,72,50,122,Taylor 
109,Todd County,Kentucky,623,145,115,260,Todd 
110,Trigg County,Kentucky,886,44,24,68,Trigg 
111,Trimble County,Kentucky,484,0,20,20,Trimble 
112,Union County,Kentucky,855,141,11,152,Union 
113,Warren County,Kentucky,10305,143,0,143,Warren 
114,Washington County,Kentucky,598,8,27,35,Washington 
115,Wayne County,Kentucky,930,102,10,112,Wayne 
116,Webster County,Kentucky,588,32,36,68,Webster 
117,Whitley County,Kentucky,2262,14,99,113,Whitley 
118,Wolfe County,Kentucky,345,1,0,1,Wolfe 
119,Woodford County,Kentucky,1533,31,97,128,Woodford 
0,Bernalillo County,New Mexico,34511,1483,1280,2763,Bernalillo 
1,Catron County,New Mexico,186,0,0,0,Catron 
2,Chaves County,New Mexico,4146,317,191,508,Chaves 
3,Cibola County,New Mexico,1521,60,20,80,Cibola 
4,Colfax County,New Mexico,544,4,113,117,Colfax 
5,Curry County,New Mexico,2790,267,45,312,Curry 
6,De Baca County,New Mexico,283,0,0,0,De Baca 
7,Doña Ana County,New Mexico,14450,346,382,728,Doña Ana 
8,Eddy County,New Mexico,3241,408,407,815,Eddy 
9,Grant County,New Mexico,1382,8,19,27,Grant 
10,Guadalupe County,New Mexico,52,0,0,0,Guadalupe 
11,Harding County,New Mexico,7,0,0,0,Harding 
12,Hidalgo County,New Mexico,131,0,21,21,Hidalgo 
13,Lea County,New Mexico,4498,311,131,442,Lea 
14,Lincoln County,New Mexico,670,53,6,59,Lincoln 
15,Los Alamos County,New Mexico,960,0,40,40,Los Alamos 
16,Luna County,New Mexico,1244,63,74,137,Luna 
17,McKinley County,New Mexico,4510,301,276,577,McKinley 
18,Mora County,New Mexico,116,0,0,0,Mora 
19,Otero County,New Mexico,3494,262,201,463,Otero 
20,Quay County,New Mexico,218,2,2,4,Quay 
21,Rio Arriba County,New Mexico,2231,116,67,183,Rio Arriba 
22,Roosevelt County,New Mexico,1328,91,2,93,Roosevelt 
23,Sandoval County,New Mexico,7647,189,138,327,Sandoval 
24,San Juan County,New Mexico,7185,317,293,610,San Juan 
25,San Miguel County,New Mexico,1904,50,26,76,San Miguel 
26,Santa Fe County,New Mexico,6636,184,405,589,Santa Fe 
27,Sierra County,New Mexico,360,14,2,16,Sierra 
28,Socorro County,New Mexico,1031,17,0,17,Socorro 
29,Taos County,New Mexico,1335,0,122,122,Taos 
30,Torrance County,New Mexico,1048,80,42,122,Torrance 
31,Union County,New Mexico,42,0,0,0,Union 
32,Valencia County,New Mexico,4343,293,87,380,Valencia 
