County-State,Graduation-Rate
TIPPECANOE-IN,85.34
TIPTON-IN,95.69
VANDERBURGH-IN,77.92
POSEY-IN,91.34
PUTNAM-IN,91.92
RANDOLPH-IN,93.63
RIPLEY-IN,86.97
RUSH-IN,97.5
ST. JOSEPH-IN,88.07
SCOTT-IN,87.5
LAKE-IN,84.63
LAPORTE-IN,88.86
MADISON-IN,83.37
MARION-IN,72.13
MARSHALL-IN,88.81
MARTIN-IN,93.1
MIAMI-IN,88.37
VERMILLION-IN,90.42
VIGO-IN,91.0
WABASH-IN,93.73
WARREN-IN,97.5
WARRICK-IN,90.0
WAYNE-IN,83.64
WHITLEY-IN,95.66
WEBSTER-IA,83.3
WINNEBAGO-IA,93.68
WINNESHIEK-IA,96.44
WOODBURY-IA,88.94
WRIGHT-IA,95.99
ALLAMAKEE-IA,95.5
APPANOOSE-IA,86.78
CLARKE-IA,91.79
CLAY-IA,96.36
CLAYTON-IA,92.37
CRAWFORD-IA,91.21
DALLAS-IA,97.45
DAVIS-IA,92.5
DES MOINES-IA,79.72
DICKINSON-IA,89.54
DUBUQUE-IA,92.02
EMMET-IA,90.29
FAYETTE-IA,94.52
FRANKLIN-IA,92.03
GREENE-IA,92.08
BENTON-IA,88.35
BLACK HAWK-IA,86.35
BOONE-IA,93.98
BREMER-IA,93.98
BUCHANAN-IA,93.64
CALHOUN-IA,96.56
CARROLL-IA,93.21
CASS-IA,88.73
CEDAR-IA,91.8
CHEROKEE-IA,96.61
CHICKASAW-IA,93.42
BUENA VISTA-IA,68.26
CERRO GORDO-IA,90.61
CLINTON-IA,89.32
DELAWARE-IA,96.83
FLOYD-IA,93.09
HANCOCK-IA,91.69
JASPER-IA,92.48
LEE-IA,88.42
LUCAS-IA,97.5
MITCHELL-IA,96.42
OBRIEN-IA,88.84
POWESHIEK-IA,88.35
SCOTT-IA,88.03
UNION-IA,96.44
MADISON-IA,97.06
MAHASKA-IA,86.99
MARION-IA,92.65
MARSHALL-IA,88.76
MILLS-IA,92.95
MONROE-IA,97.5
MONTGOMERY-IA,89.89
MUSCATINE-IA,85.39
PAGE-IA,90.03
PLYMOUTH-IA,95.69
POLK-IA,88.3
POTTAWATTAMIE-IA,90.21
GUTHRIE-IA,93.53
HAMILTON-IA,92.0
HARDIN-IA,94.63
HENRY-IA,91.52
HOWARD-IA,91.92
HUMBOLDT-IA,92.5
IDA-IA,96.4
IOWA-IA,93.3
JACKSON-IA,90.88
JEFFERSON-IA,86.61
JOHNSON-IA,92.8
JONES-IA,92.95
KOSSUTH-IA,92.5
LINN-IA,88.73
LOUISA-IA,88.99
SAC-IA,97.5
SHELBY-IA,93.09
SIOUX-IA,92.68
STORY-IA,93.71
TAMA-IA,93.56
WAPELLO-IA,86.59
WARREN-IA,95.28
WASHINGTON-IA,90.79
CHEROKEE-KS,90.01
CLAY-KS,92.5
CLOUD-KS,90.09
COFFEY-KS,95.51
COWLEY-KS,85.68
CRAWFORD-KS,86.06
DICKINSON-KS,91.4
DOUGLAS-KS,83.7
ELLIS-KS,87.05
FORD-KS,83.93
FRANKLIN-KS,85.32
GEARY-KS,71.0
HARVEY-KS,91.0
JACKSON-KS,88.83
ALLEN-KS,90.18
ANDERSON-KS,92.06
FINNEY-KS,80.42
GRANT-KS,87.5
KIOWA-KS,37.5
MCPHERSON-KS,90.43
MORTON-KS,74.69
POTTAWATOMIE-KS,94.34
RILEY-KS,83.73
SCOTT-KS,82.5
STEVENS-KS,92.08
THOMAS-KS,89.88
ATCHISON-KS,89.84
BARTON-KS,83.69
BOURBON-KS,87.94
BROWN-KS,92.99
BUTLER-KS,88.25
JEFFERSON-KS,94.52
JOHNSON-KS,90.24
KINGMAN-KS,85.53
LABETTE-KS,90.46
LEAVENWORTH-KS,91.95
SALINE-KS,88.18
SEDGWICK-KS,82.05
SEWARD-KS,88.47
SHAWNEE-KS,80.15
LINN-KS,88.71
LYON-KS,82.27
MARSHALL-KS,90.22
MIAMI-KS,89.36
MONTGOMERY-KS,84.77
NEMAHA-KS,93.48
NEOSHO-KS,90.37
OSAGE-KS,90.75
PRATT-KS,88.11
RENO-KS,86.59
SHERMAN-KS,72.5
SUMNER-KS,91.19
WYANDOTTE-KS,72.89
OHIO-KY,94.0
OLDHAM-KY,96.0
OWEN-KY,92.5
PENDLETON-KY,92.5
PERRY-KY,92.13
PIKE-KY,91.65
POWELL-KY,92.5
PULASKI-KY,93.75
ROCKCASTLE-KY,94.0
ROWAN-KY,99.5
SCOTT-KY,86.0
SIMPSON-KY,94.0
TAYLOR-KY,99.05
WASHINGTON-KY,97.5
WHITLEY-KY,93.78
WOLFE-KY,92.5
WOODFORD-KY,90.0
RUSSELL-KY,90.0
SHELBY-KY,92.0
SPENCER-KY,92.5
TODD-KY,97.5
TRIGG-KY,87.5
TRIMBLE-KY,92.5
UNION-KY,92.5
WARREN-KY,93.34
WAYNE-KY,92.5
WEBSTER-KY,87.5
BALLARD-KY,92.5
BARREN-KY,84.27
BOONE-KY,91.45
BOYD-KY,91.69
BOYLE-KY,95.03
BRACKEN-KY,91.85
ADAIR-KY,97.5
ALLEN-KY,88.0
ANDERSON-KY,96.0
BELL-KY,94.34
BOURBON-KY,87.49
BREATHITT-KY,70.54
BRECKINRIDGE-KY,94.15
BULLITT-KY,86.0
BUTLER-KY,92.5
CALDWELL-KY,92.5
CARTER-KY,99.5
CLARK-KY,95.0
CLAY-KY,81.0
CRITTENDEN-KY,82.5
DAVIESS-KY,90.85
EDMONSON-KY,92.5
FAYETTE-KY,85.0
FLOYD-KY,94.0
GARRARD-KY,87.5
GRAYSON-KY,88.0
GREENUP-KY,95.41
HARDIN-KY,90.29
HARLAN-KY,88.15
HARRISON-KY,84.0
HENDERSON-KY,91.0
HOPKINS-KY,87.54
JACKSON-KY,87.5
JOHNSON-KY,95.84
KNOTT-KY,92.5
KNOX-KY,88.79
LARUE-KY,97.5
LAUREL-KY,85.0
LESLIE-KY,97.5
LETCHER-KY,91.54
LEWIS-KY,97.5
LIVINGSTON-KY,97.5
MADISON-KY,92.95
MAGOFFIN-KY,97.5
MARION-KY,92.5
MENIFEE-KY,97.5
MERCER-KY,93.64
METCALFE-KY,92.5
MORGAN-KY,87.5
MUHLENBERG-KY,89.0
NELSON-KY,91.97
CALLOWAY-KY,95.71
CAMPBELL-KY,93.35
CARROLL-KY,97.5
CASEY-KY,92.5
CHRISTIAN-KY,88.0
GREEN-KY,92.5
HANCOCK-KY,92.5
HART-KY,97.5
HENRY-KY,97.0
JEFFERSON-KY,79.0
JESSAMINE-KY,88.0
KENTON-KY,91.6
CLINTON-KY,92.5
CUMBERLAND-KY,92.5
ELLIOTT-KY,92.5
FLEMING-KY,97.5
FRANKLIN-KY,78.88
GALLATIN-KY,92.5
GRANT-KY,86.66
GRAVES-KY,93.91
LEE-KY,97.5
LINCOLN-KY,95.0
LOGAN-KY,89.47
LYON-KY,97.5
MCCRACKEN-KY,90.7
MCCREARY-KY,87.5
MCLEAN-KY,87.5
MARTIN-KY,92.5
BATH-KY,92.5
MARSHALL-KY,93.0
MASON-KY,87.5
MEADE-KY,93.0
MONROE-KY,97.5
MONTGOMERY-KY,89.0
NICHOLAS-KY,92.5
ESTILL-KY,92.5
LAWRENCE-KY,92.5
IBERVILLE-LA,81.0
JACKSON-LA,92.5
LA SALLE-LA,97.5
LINCOLN-LA,90.0
NATCHITOCHES-LA,80.0
OUACHITA-LA,81.56
RAPIDES-LA,74.0
RICHLAND-LA,81.0
ST. BERNARD-LA,85.0
ST. CHARLES-LA,89.0
ST. JAMES-LA,79.0
ST. JOHN THE BAPTIST-LA,78.0
ST. MARY-LA,84.0
VERNON-LA,90.0
WEST BATON ROUGE-LA,79.0
WEST FELICIANA-LA,87.5
CALDWELL-LA,92.5
PLAQUEMINES-LA,91.0
WEBSTER-LA,83.0
ACADIA-LA,85.0
ALLEN-LA,91.0
ASCENSION-LA,88.0
ASSUMPTION-LA,81.0
AVOYELLES-LA,72.0
BIENVILLE-LA,92.5
BOSSIER-LA,85.0
CADDO-LA,75.0
CATAHOULA-LA,72.5
CONCORDIA-LA,74.0
DE SOTO-LA,96.0
EAST BATON ROUGE-LA,71.36
EAST FELICIANA-LA,77.5
EVANGELINE-LA,80.0
FRANKLIN-LA,77.5
IBERIA-LA,76.0
JEFFERSON-LA,73.0
JEFFERSON DAVIS-LA,90.0
LAFAYETTE-LA,76.0
LAFOURCHE-LA,84.0
LIVINGSTON-LA,84.0
MADISON-LA,72.5
MOREHOUSE-LA,73.0
ORLEANS-LA,92.0
POINTE COUPEE-LA,72.5
RED RIVER-LA,87.5
SABINE-LA,87.0
ST. HELENA-LA,67.5
ST. LANDRY-LA,69.0
ST. MARTIN-LA,83.0
ST. TAMMANY-LA,83.0
TANGIPAHOA-LA,74.0
TERREBONNE-LA,76.0
UNION-LA,77.5
VERMILION-LA,94.0
WASHINGTON-LA,81.69
WEST CARROLL-LA,92.5
WINN-LA,77.5
BEAUREGARD-LA,94.0
CALCASIEU-LA,83.0
CAMERON-LA,92.5
CLAIBORNE-LA,82.5
GRANT-LA,85.0
