County-State,Percentage-Private-School,Percentage-Public-School
CUMING-NE,0.25,0.75
CASS-IL,0.2,0.8
ANDERSON-TN,0.13333333333333333,0.8666666666666667
LEWIS-TN,0.42857142857142855,0.5714285714285714
DELAWARE-IA,0.16666666666666666,0.8333333333333334
ST. JOSEPH-IN,0.32407407407407407,0.6759259259259259
BENTON-IN,0.2,0.8
FAYETTE-IN,0.1,0.9
BARTHOLOMEW-IN,0.2692307692307692,0.7307692307692307
SCOTTS BLUFF-NE,0.08571428571428572,0.9142857142857143
HALL-NE,0.13513513513513514,0.8648648648648649
JOHNSON-IL,0.125,0.875
HICKMAN-TN,0.1111111111111111,0.8888888888888888
ARAPAHOE-CO,0.15306122448979592,0.8469387755102041
CROSS-AR,0.14285714285714285,0.8571428571428571
LICKING-OH,0.13432835820895522,0.8656716417910447
SUMNER-TN,0.15517241379310345,0.8448275862068966
LINCOLN-MO,0.16666666666666666,0.8333333333333334
WAUKESHA-WI,0.3048780487804878,0.6951219512195121
WEXFORD-MI,0.14285714285714285,0.8571428571428571
JASPER-IN,0.23076923076923078,0.7692307692307693
BENTON-WA,0.1232876712328767,0.8767123287671232
WASHINGTON-UT,0.12307692307692308,0.8769230769230769
WAGONER-OK,0.043478260869565216,0.9565217391304348
BARNWELL-SC,0.26666666666666666,0.7333333333333333
BEAUFORT-SC,0.2391304347826087,0.7608695652173914
FOND DU LAC-WI,0.24561403508771928,0.7543859649122807
BARBOUR-AL,0.18181818181818182,0.8181818181818182
HAND-SD,0.2,0.8
BENTON-AR,0.11764705882352941,0.8823529411764706
ORANGE-IN,0.125,0.875
MIDDLESEX-MA,0.2553606237816764,0.7446393762183235
HOLMES-MS,0.1111111111111111,0.8888888888888888
BUTLER-MO,0.09523809523809523,0.9047619047619048
WASHINGTON-MO,0.07142857142857142,0.9285714285714286
GRANT-NM,0.15789473684210525,0.8421052631578947
SEDGWICK-KS,0.1693121693121693,0.8306878306878307
ROSCOMMON-MI,0.0625,0.9375
OCEAN-NJ,0.3548387096774194,0.6451612903225806
HAMPDEN-MA,0.17258883248730963,0.8274111675126904
CLARK-KY,0.23076923076923078,0.7692307692307693
JEFFERSON-KY,0.292,0.708
ALLEGHENY-PA,0.29095354523227385,0.7090464547677262
INDIANA-PA,0.6101694915254238,0.3898305084745763
COLUMBIA-PA,0.24,0.76
COVINGTON-MS,0.09090909090909091,0.9090909090909091
GILES-TN,0.1111111111111111,0.8888888888888888
ADAIR-MO,0.25,0.75
BROWARD-FL,0.3302411873840445,0.6697588126159555
SALINE-KS,0.1111111111111111,0.8888888888888888
JEROME-ID,0.1,0.9
SOMERSET-NJ,0.37593984962406013,0.6240601503759399
HALE-AL,0.125,0.875
LAFAYETTE-AR,0.16666666666666666,0.8333333333333334
ARMSTRONG-PA,0.37037037037037035,0.6296296296296297
MARSHALL-WV,0.06666666666666667,0.9333333333333333
WABASH-IL,0.2857142857142857,0.7142857142857143
CHRISTIAN-IL,0.2,0.8
JACKSON-IL,0.17857142857142858,0.8214285714285714
TAYLOR-GA,0.16666666666666666,0.8333333333333334
TUSCARAWAS-OH,0.2833333333333333,0.7166666666666667
MARSHALL-IA,0.1111111111111111,0.8888888888888888
RAMSEY-ND,0.07692307692307693,0.9230769230769231
LAWRENCE-IN,0.13636363636363635,0.8636363636363636
CENTRE-PA,0.46875,0.53125
HARTFORD-CT,0.1553398058252427,0.8446601941747572
EATON-MI,0.14754098360655737,0.8524590163934426
