County-State,SVI
BASTROP-TX,0.7459
MCCULLOCH-TX,0.7395
CHILDRESS-TX,0.75
WASHINGTON-TX,0.7312
LUBBOCK-TX,0.7497
DALLAS-TX,0.7538
HARRIS-TX,0.7236
HARRISON-TX,0.7306
COMANCHE-TX,0.7264
SAN SABA-TX,0.7315
KENEDY-TX,0.7328
PARMER-TX,0.7576
SMITH-TX,0.7462
HENDERSON-TX,0.7201
NEWTON-TX,0.7207
HEMPHILL-TX,0.7427
ROBERTSON-TX,0.7529
LOVING-TX,0.7573
BEXAR-TX,0.8258
EASTLAND-TX,0.8067
JASPER-TX,0.8239
FLOYD-TX,0.8299
MCMULLEN-TX,0.7631
MILLS-TX,0.7688
CASTRO-TX,0.7774
RUSK-TX,0.7965
DEWITT-TX,0.8229
LAMAR-TX,0.8357
MADISON-TX,0.8376
ECTOR-TX,0.7924
WICHITA-TX,0.8166
NUECES-TX,0.8363
ANDERSON-TX,0.7946
HANSFORD-TX,0.7615
MILAM-TX,0.7627
VICTORIA-TX,0.7834
LA SALLE-TX,0.8191
WALLER-TX,0.8331
BAILEY-TX,0.8003
BELL-TX,0.8051
SAN PATRICIO-TX,0.8309
HUNT-TX,0.8341
REEVES-TX,0.7803
KNOX-TX,0.7962
ARANSAS-TX,0.8019
TRINITY-TX,0.8016
PECOS-TX,0.8213
CORYELL-TX,0.7809
CASS-TX,0.7841
WHARTON-TX,0.8758
NOLAN-TX,0.8866
CAMP-TX,0.9019
HOCKLEY-TX,0.9025
COTTLE-TX,0.9363
EL PASO-TX,0.9535
ATASCOSA-TX,0.8497
DEAF SMITH-TX,0.8411
KARNES-TX,0.8424
FREESTONE-TX,0.843
KINNEY-TX,0.8561
GRIMES-TX,0.8602
LAMB-TX,0.8975
WILBARGER-TX,0.9083
POLK-TX,0.9121
COCHRAN-TX,0.8608
STEPHENS-TX,0.885
MATAGORDA-TX,0.9067
JIM WELLS-TX,0.9226
GONZALES-TX,0.8959
DICKENS-TX,0.8796
CHEROKEE-TX,0.9191
UVALDE-TX,0.9548
LYNN-TX,0.8908
HOWARD-TX,0.9153
HILL-TX,0.8707
HOUSTON-TX,0.9131
DAWSON-TX,0.9475
HALE-TX,0.9312
REFUGIO-TX,0.9414
LIBERTY-TX,0.9427
WEBB-TX,0.9497
JEFFERSON-TX,0.8567
CALHOUN-TX,0.8618
TYLER-TX,0.8834
CROSBY-TX,0.9395
HALL-TX,0.95
GRAY-TX,0.8446
TITUS-TX,0.8901
POTTER-TX,0.9248
PALO PINTO-TX,0.8799
COLLINGSWORTH-TX,0.8876
SAN AUGUSTINE-TX,0.8889
SHELBY-TX,0.9522
MCLENNAN-TX,0.8436
BOWIE-TX,0.8529
CALDWELL-TX,0.8732
GREGG-TX,0.8825
LIMESTONE-TX,0.9532
NAVARRO-TX,0.9662
WILLACY-TX,0.9892
NACOGDOCHES-TX,0.9822
TERRY-TX,0.9876
STARR-TX,0.9815
KLEBERG-TX,0.9834
